room	area	city	n	n	n	n	n	n
1	4	160	7512	0	1	1	11	0
2	4	145	2550	1	1	1	6	0
3	1	242	5059	1	0	1	10	1
4	4	249	6990	1	1	1	13	0
5	3	96	8909	1	1	1	11	0
6	1	172	9592	0	1	1	13	0
7	2	161	5472	1	0	1	9	1
8	3	212	1386	1	0	1	6	1
9	4	228	1492	0	0	1	7	0
10	4	239	2575	1	1	1	8	0
11	1	119	8407	0	0	1	11	0
12	4	220	2542	0	1	1	7	0
13	4	214	8142	1	0	1	13	0
14	2	90	2435	1	0	1	4	1
15	4	79	9292	1	0	1	11	0
16	1	175	3499	0	0	1	7	1
17	2	290	1965	1	1	1	9	1
18	4	135	2510	0	1	1	5	0
19	4	196	6160	0	1	1	10	0
20	4	106	4732	0	0	1	7	0
21	4	137	3252	1	1	1	6	0
22	2	210	2545	0	1	1	7	1
23	3	300	5465	1	0	1	12	1
24	1	240	6548	1	1	1	12	1
25	4	298	4568	0	1	1	11	0
